sample_id,dataset,case,method,phase0_run_id,input_image,pred_hand_mesh,pred_object_mesh,gt_hand_mesh,gt_object_mesh,align_npz,gt_source,frame,view_id,fixed_gt_hand,notes
arctic_abox01_default,arctic,abox01,default,arctic_abox01_default,,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_abox01_default/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_abox01_default/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_abox01_default_hand_align.npz,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/box_grab_01.npy,82,2,right,ARCTIC selected Phase0.17 case
arctic_abox01_gpt55_selector,arctic,abox01,gpt55_selector,arctic_abox01_gpt55_auto_selector_native_v2,,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_abox01_gpt55_selector/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_abox01_gpt55_selector/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_abox01_gpt55_selector_hand_align.npz,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/box_grab_01.npy,82,2,right,ARCTIC selected Phase0.17 case
arctic_aket01_default,arctic,aket01,default,arctic_aket01_default,,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_aket01_default/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_aket01_default/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_aket01_default_hand_align.npz,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/ketchup_grab_01.npy,147,7,left,ARCTIC selected Phase0.17 case
arctic_aket01_gpt55_selector,arctic,aket01,gpt55_selector,arctic_aket01_gpt55_auto_selector_native_v2,,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_aket01_gpt55_selector/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_aket01_gpt55_selector/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_aket01_gpt55_selector_hand_align.npz,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/ketchup_grab_01.npy,147,7,left,ARCTIC selected Phase0.17 case
arctic_ascis01_default,arctic,ascis01,default,arctic_ascis01_default,,/home/fredcui/foho_phase0/runs/arctic_ascis01_default/foho_debug/20260609_172351_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_ascis01_default/foho_debug/20260609_172351_exp_objascis01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_ascis01_default/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_ascis01_default/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_ascis01_default_hand_align.npz,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/scissors_grab_01.npy,365,5,left,ARCTIC selected Phase0.17 case
arctic_ascis01_gpt55_selector,arctic,ascis01,gpt55_selector,arctic_ascis01_gpt55_auto_selector_native_v2,,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2/foho_debug/20260607_235259_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2/foho_debug/20260607_235259_exp_objascis01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_ascis01_gpt55_selector/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_ascis01_gpt55_selector/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_ascis01_gpt55_selector_hand_align.npz,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/scissors_grab_01.npy,365,5,left,ARCTIC selected Phase0.17 case
arctic_alapuse01_default,arctic,alapuse01,default,arctic_alapuse01_default,,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_alapuse01_default/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_alapuse01_default/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_alapuse01_default_hand_align.npz,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/laptop_use_01.npy,114,0,right,ARCTIC selected Phase0.17 case
arctic_alapuse01_gpt55_selector,arctic,alapuse01,gpt55_selector,arctic_alapuse01_gpt55_auto_selector_native_v2,,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_235655_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_235655_exp_objalapuse01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_alapuse01_gpt55_selector/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_alapuse01_gpt55_selector/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_alapuse01_gpt55_selector_hand_align.npz,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/laptop_use_01.npy,114,0,right,ARCTIC selected Phase0.17 case
arctic_amicuse01_default,arctic,amicuse01,default,arctic_amicuse01_default,,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default/foho_debug/20260609_173116_exp_objamicuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default/foho_debug/20260609_173116_exp_objamicuse01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_amicuse01_default/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_amicuse01_default/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_amicuse01_default_hand_align.npz,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/microwave_use_01.npy,152,0,right,ARCTIC selected Phase0.17 case
arctic_amicuse01_gpt55_selector,arctic,amicuse01,gpt55_selector,arctic_amicuse01_gpt55_auto_selector_native_v2,,/home/fredcui/foho_phase0/runs/arctic_amicuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_230929_exp_objamicuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_amicuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_230929_exp_objamicuse01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_amicuse01_gpt55_selector/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_amicuse01_gpt55_selector/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_amicuse01_gpt55_selector_hand_align.npz,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/microwave_use_01.npy,152,0,right,ARCTIC selected Phase0.17 case
