case,method_key,method_label,run_root,hand_mesh,object_mesh,mesh_exists,input_image,status,copied_hand,copied_object,combined_ply,combined_glb
abox01,baseline,baseline,/home/fredcui/foho_phase0/runs/arctic_abox01_default,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/abox01.jpg,ok,/home/fredcui/foho_phase0/phase1_report_assets/meshes/abox01/baseline/final_hand.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/abox01/baseline/final_object.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/abox01/baseline/final_hoi_colored.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/abox01/baseline/final_hoi_scene.glb
abox01,selector_gpt55,selector+gpt-55,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/abox01.jpg,ok,/home/fredcui/foho_phase0/phase1_report_assets/meshes/abox01/selector_gpt55/final_hand.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/abox01/selector_gpt55/final_object.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/abox01/selector_gpt55/final_hoi_colored.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/abox01/selector_gpt55/final_hoi_scene.glb
abox01,selector_v41,selector-v4.1,/home/fredcui/foho_phase0/phase1_diagnostics/selector_v41_full_pipeline/runs/arctic_abox01_selector_v41_refined_pipeline,/home/fredcui/foho_phase0/phase1_diagnostics/selector_v41_full_pipeline/runs/arctic_abox01_selector_v41_refined_pipeline/foho_debug/20260621_182948_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/selector_v41_full_pipeline/runs/arctic_abox01_selector_v41_refined_pipeline/foho_debug/20260621_182948_exp_objabox01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/abox01.jpg,ok,/home/fredcui/foho_phase0/phase1_report_assets/meshes/abox01/selector_v41/final_hand.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/abox01/selector_v41/final_object.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/abox01/selector_v41/final_hoi_colored.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/abox01/selector_v41/final_hoi_scene.glb
aket01,baseline,baseline,/home/fredcui/foho_phase0/runs/arctic_aket01_default,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/aket01.jpg,ok,/home/fredcui/foho_phase0/phase1_report_assets/meshes/aket01/baseline/final_hand.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/aket01/baseline/final_object.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/aket01/baseline/final_hoi_colored.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/aket01/baseline/final_hoi_scene.glb
aket01,selector_gpt55,selector+gpt-55,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/aket01.jpg,ok,/home/fredcui/foho_phase0/phase1_report_assets/meshes/aket01/selector_gpt55/final_hand.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/aket01/selector_gpt55/final_object.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/aket01/selector_gpt55/final_hoi_colored.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/aket01/selector_gpt55/final_hoi_scene.glb
aket01,selector_v41,selector-v4.1,/home/fredcui/foho_phase0/phase1_diagnostics/selector_v41_full_pipeline/runs/arctic_aket01_selector_v41_refined_pipeline,/home/fredcui/foho_phase0/phase1_diagnostics/selector_v41_full_pipeline/runs/arctic_aket01_selector_v41_refined_pipeline/foho_debug/20260621_183624_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/selector_v41_full_pipeline/runs/arctic_aket01_selector_v41_refined_pipeline/foho_debug/20260621_183624_exp_objaket01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/aket01.jpg,ok,/home/fredcui/foho_phase0/phase1_report_assets/meshes/aket01/selector_v41/final_hand.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/aket01/selector_v41/final_object.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/aket01/selector_v41/final_hoi_colored.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/aket01/selector_v41/final_hoi_scene.glb
alapuse01,baseline,baseline,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/alapuse01.jpg,ok,/home/fredcui/foho_phase0/phase1_report_assets/meshes/alapuse01/baseline/final_hand.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/alapuse01/baseline/final_object.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/alapuse01/baseline/final_hoi_colored.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/alapuse01/baseline/final_hoi_scene.glb
alapuse01,selector_gpt55,selector+gpt-55,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_235655_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_235655_exp_objalapuse01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/alapuse01.jpg,ok,/home/fredcui/foho_phase0/phase1_report_assets/meshes/alapuse01/selector_gpt55/final_hand.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/alapuse01/selector_gpt55/final_object.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/alapuse01/selector_gpt55/final_hoi_colored.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/alapuse01/selector_gpt55/final_hoi_scene.glb
alapuse01,selector_v41,selector-v4.1,/home/fredcui/foho_phase0/phase1_diagnostics/selector_v41_full_pipeline/runs/arctic_alapuse01_selector_v41_refined_pipeline,/home/fredcui/foho_phase0/phase1_diagnostics/selector_v41_full_pipeline/runs/arctic_alapuse01_selector_v41_refined_pipeline/foho_debug/20260621_184319_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/selector_v41_full_pipeline/runs/arctic_alapuse01_selector_v41_refined_pipeline/foho_debug/20260621_184319_exp_objalapuse01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/alapuse01.jpg,ok,/home/fredcui/foho_phase0/phase1_report_assets/meshes/alapuse01/selector_v41/final_hand.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/alapuse01/selector_v41/final_object.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/alapuse01/selector_v41/final_hoi_colored.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/alapuse01/selector_v41/final_hoi_scene.glb
amicuse01,baseline,baseline,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default/foho_debug/20260609_173116_exp_objamicuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default/foho_debug/20260609_173116_exp_objamicuse01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/amicuse01.jpg,ok,/home/fredcui/foho_phase0/phase1_report_assets/meshes/amicuse01/baseline/final_hand.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/amicuse01/baseline/final_object.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/amicuse01/baseline/final_hoi_colored.ply,/home/fredcui/foho_phase0/phase1_report_assets/meshes/amicuse01/baseline/final_hoi_scene.glb
