sample_id,dataset,case,method,status,hand_diag_m,hand_diag_mm,object_diag_m,object_diag_mm,sim_scale,pred_hand_mesh,pred_object_mesh,gt_hand_mesh,gt_object_mesh,align_npz,warnings
arctic_abox01_default,arctic,abox01,default,OK,0.22867383333616764,228.67383333616763,0.8219834101924349,821.9834101924349,0.27925178556078156,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_abox01_default/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_abox01_default/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_abox01_default_hand_align.npz,
arctic_abox01_gpt55_selector,arctic,abox01,gpt55_selector,OK,0.22867383203476596,228.67383203476595,0.53553152555156,535.53152555156,0.27684417838400965,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_abox01_gpt55_selector/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_abox01_gpt55_selector/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_abox01_gpt55_selector_hand_align.npz,
arctic_aket01_default,arctic,aket01,default,OK,0.2188073585983283,218.8073585983283,0.1507143547077109,150.71435470771092,0.40186149291454715,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_aket01_default/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_aket01_default/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_aket01_default_hand_align.npz,
arctic_aket01_gpt55_selector,arctic,aket01,gpt55_selector,OK,0.21880726707932996,218.80726707932996,0.2571521800538697,257.1521800538697,0.3863587327188659,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_aket01_gpt55_selector/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_aket01_gpt55_selector/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_aket01_gpt55_selector_hand_align.npz,
arctic_ascis01_default,arctic,ascis01,default,OK,0.17840727686988286,178.40727686988285,0.40838157197011465,408.38157197011463,0.7667676132139828,/home/fredcui/foho_phase0/runs/arctic_ascis01_default/foho_debug/20260609_172351_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_ascis01_default/foho_debug/20260609_172351_exp_objascis01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_ascis01_default/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_ascis01_default/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_ascis01_default_hand_align.npz,arctic_ascis01_default/pred_obj_aligned: non-watertight
arctic_ascis01_gpt55_selector,arctic,ascis01,gpt55_selector,OK,0.17840723143688542,178.4072314368854,0.3073472570959466,307.34725709594665,0.7706163971662481,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2/foho_debug/20260607_235259_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2/foho_debug/20260607_235259_exp_objascis01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_ascis01_gpt55_selector/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_ascis01_gpt55_selector/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_ascis01_gpt55_selector_hand_align.npz,
arctic_alapuse01_default,arctic,alapuse01,default,OK,0.1887691138374549,188.7691138374549,0.4040828679322441,404.08286793224414,0.3365038153790107,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_alapuse01_default/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_alapuse01_default/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_alapuse01_default_hand_align.npz,
arctic_alapuse01_gpt55_selector,arctic,alapuse01,gpt55_selector,OK,0.18876911801843677,188.76911801843676,0.4731738159213544,473.1738159213544,0.37560466411829607,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_235655_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_235655_exp_objalapuse01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_alapuse01_gpt55_selector/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_alapuse01_gpt55_selector/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_alapuse01_gpt55_selector_hand_align.npz,
arctic_amicuse01_default,arctic,amicuse01,default,OK,0.23461760045916102,234.61760045916103,0.5716758265846102,571.6758265846103,0.20404764909840156,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default/foho_debug/20260609_173116_exp_objamicuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default/foho_debug/20260609_173116_exp_objamicuse01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_amicuse01_default/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_amicuse01_default/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_amicuse01_default_hand_align.npz,arctic_amicuse01_default/pred_obj_aligned: non-watertight | arctic_amicuse01_default/gt_obj: non-watertight
arctic_amicuse01_gpt55_selector,arctic,amicuse01,gpt55_selector,OK,0.23461762734161148,234.6176273416115,0.5056681082502494,505.6681082502494,0.21635212297735615,/home/fredcui/foho_phase0/runs/arctic_amicuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_230929_exp_objamicuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_amicuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_230929_exp_objamicuse01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_amicuse01_gpt55_selector/gt_hand_points.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_gt/arctic_amicuse01_gpt55_selector/gt_object_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_amicuse01_gpt55_selector_hand_align.npz,arctic_amicuse01_gpt55_selector/gt_obj: non-watertight
