case,method,run_id,exists,hand_mesh,object_mesh,status,subject,seq_name,frame,view_id,gt_processed,chosen_gt_hand,sim_scale,hand_cd_mm,object_cd_mm,object_f5,object_f10,object_precision_5mm,object_recall_5mm,object_precision_10mm,object_recall_10mm
abox01,default_baseline,arctic_abox01_default,True,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/final_obj_mesh.ply,ok,s01,box_grab_01,82,2,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/box_grab_01.npy,right,0.27925178556078156,4.151192910072491,98.40169162272616,0.011919426809870357,0.04358626028854479,0.00687314187636007,0.04484418545730935,0.0287108836239924,0.0904484418545731
abox01,old_gpt55_selector_v1,arctic_abox01_gpt55_auto_selector_native_v2,True,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/final_obj_mesh.ply,ok,s01,box_grab_01,82,2,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/box_grab_01.npy,right,0.27684417838400965,4.151189907511339,116.59678275816069,0.024789451574732398,0.0673027303111795,0.01864098603333977,0.036990119077780596,0.06852191542768875,0.06612617177603243
abox01,partaware_v2_attempt0,arctic_abox01_partaware_v2_attempt0,True,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_abox01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_abox01_partaware_v2_attempt0/foho_debug/20260620_170446_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_abox01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_abox01_partaware_v2_attempt0/foho_debug/20260620_170446_exp_objabox01_inpainted/final_obj_mesh.ply,ok,s01,box_grab_01,82,2,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/box_grab_01.npy,right,0.2747660555892344,4.151188978456762,95.43003686943987,0.004482490659964605,0.018442242115268858,0.002600721780563297,0.01621484671902711,0.01214954471315002,0.038256903977704586
aket01,default_baseline,arctic_aket01_default,True,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/final_obj_mesh.ply,ok,s01,ketchup_grab_01,147,7,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/ketchup_grab_01.npy,left,0.40186149291454715,7.236895920234127,126.41712444846931,0.0,0.0,0.0,0.0,0.0,0.0
aket01,old_gpt55_selector_v1,arctic_aket01_gpt55_auto_selector_native_v2,True,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/final_obj_mesh.ply,ok,s01,ketchup_grab_01,147,7,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/ketchup_grab_01.npy,left,0.3863587327188659,7.236893957640367,40.17626079809386,0.015706920587162523,0.04479132607179921,0.020375934057468608,0.012778752192432975,0.05654417995531931,0.03708343773490353
aket01,partaware_v2_attempt0,arctic_aket01_partaware_v2_attempt0,True,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_aket01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_aket01_partaware_v2_attempt0/foho_debug/20260619_153623_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_aket01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_aket01_partaware_v2_attempt0/foho_debug/20260619_153623_exp_objaket01_inpainted/final_obj_mesh.ply,ok,s01,ketchup_grab_01,147,7,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/ketchup_grab_01.npy,left,0.3805419156844592,7.236895778675349,64.51849278781403,0.02973289208766174,0.062122630229291334,0.016409397109102605,0.15810573791029817,0.03441826613858705,0.318466549736908
ascis01,default_baseline,arctic_ascis01_default,True,/home/fredcui/foho_phase0/runs/arctic_ascis01_default/foho_debug/20260609_172351_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_ascis01_default/foho_debug/20260609_172351_exp_objascis01_inpainted/final_obj_mesh.ply,ok,s01,scissors_grab_01,365,5,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/scissors_grab_01.npy,left,0.7667676132139828,4.75784262004216,139.27402710127524,0.0,0.0,0.0,0.0,0.0,0.0
ascis01,old_gpt55_selector_v1,arctic_ascis01_gpt55_auto_selector_native_v2,True,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2/foho_debug/20260607_235259_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2/foho_debug/20260607_235259_exp_objascis01_inpainted/final_obj_mesh.ply,ok,s01,scissors_grab_01,365,5,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/scissors_grab_01.npy,left,0.7706163971662481,4.757841410651789,92.40542663507598,0.0,0.0,0.0,0.0,0.0,0.0
ascis01,partaware_v2_attempt0,arctic_ascis01_partaware_v2_attempt0,True,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_ascis01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_ascis01_partaware_v2_attempt0/foho_debug/20260620_170814_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_ascis01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_ascis01_partaware_v2_attempt0/foho_debug/20260620_170814_exp_objascis01_inpainted/final_obj_mesh.ply,ok,s01,scissors_grab_01,365,5,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/scissors_grab_01.npy,left,0.7709858797739245,4.757842307217907,117.70447873546266,0.0,0.0,0.0,0.0,0.0,0.0
alapuse01,default_baseline,arctic_alapuse01_default,True,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/final_obj_mesh.ply,ok,s01,laptop_use_01,114,0,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/laptop_use_01.npy,right,0.3365038153790107,4.335729022784503,60.50951355785459,0.06469812967619108,0.12412555047544248,0.07474309447099602,0.05703324808184143,0.18033775633293125,0.09462915601023018
alapuse01,old_gpt55_selector_v1,arctic_alapuse01_gpt55_auto_selector_native_v2,True,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_235655_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_235655_exp_objalapuse01_inpainted/final_obj_mesh.ply,ok,s01,laptop_use_01,114,0,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/laptop_use_01.npy,right,0.37560466411829607,4.335730015074433,71.45581814191013,0.07153345167250469,0.13553303361019287,0.07305202627816952,0.070076726342711,0.1721412853173137,0.11176470588235295
alapuse01,partaware_v2_attempt0,arctic_alapuse01_partaware_v2_attempt0,True,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_alapuse01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_alapuse01_partaware_v2_attempt0/foho_debug/20260620_191408_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_alapuse01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_alapuse01_partaware_v2_attempt0/foho_debug/20260620_191408_exp_objalapuse01_inpainted/final_obj_mesh.ply,ok,s01,laptop_use_01,114,0,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/laptop_use_01.npy,right,0.36779146672826935,4.33572898604277,118.69247341924277,0.0044142029672057026,0.009228648603048733,0.005197065981611682,0.0038363171355498722,0.015075716603569498,0.006649616368286445
amicuse01,default_baseline,arctic_amicuse01_default,True,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default/foho_debug/20260609_173116_exp_objamicuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default/foho_debug/20260609_173116_exp_objamicuse01_inpainted/final_obj_mesh.ply,ok,s01,microwave_use_01,152,0,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/microwave_use_01.npy,right,0.20404764909840156,7.288118687934849,65.57131108803019,0.07269605263057553,0.1507911657136993,0.05343463588249396,0.11367050575863796,0.14773083519280064,0.15398097145718578
amicuse01,old_gpt55_selector_v1,arctic_amicuse01_gpt55_auto_selector_native_v2,True,/home/fredcui/foho_phase0/runs/arctic_amicuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_230929_exp_objamicuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_amicuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_230929_exp_objamicuse01_inpainted/final_obj_mesh.ply,ok,s01,microwave_use_01,152,0,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/microwave_use_01.npy,right,0.21635212297735615,7.288117657453078,64.550862932084,0.05058916425791821,0.10225234292048699,0.06129994810586404,0.04306459689534301,0.18885140979069365,0.0701051577366049
amicuse01,partaware_v2_attempt0,arctic_amicuse01_partaware_v2_attempt0,True,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_amicuse01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_amicuse01_partaware_v2_attempt0/foho_debug/20260620_171136_exp_objamicuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_amicuse01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_amicuse01_partaware_v2_attempt0/foho_debug/20260620_171136_exp_objamicuse01_inpainted/final_obj_mesh.ply,ok,s01,microwave_use_01,152,0,/home/fredcui/Projects/arctic/outputs/processed_verts/seqs/s01/microwave_use_01.npy,right,0.2859833454754065,7.288117094568317,146.70867404063264,0.0,0.0003270215345804038,0.0,0.0,0.00017383098661501403,0.002754131196795193
