case,method,run_id,run_dir,hand_mesh,object_mesh,exists,input_image,status,contact_min_mm,contact_p5_mm,contact_mean_mm,contact_count_5mm,components,largest_component_fraction,bbox_diag_mm,igl_available,object_inside_hand_ratio,object_inside_hand_max_depth_mm,hand_inside_object_ratio,hand_inside_object_max_depth_mm,severe_floating,severe_penetration,low_integrity,selector_v4_gate
abox01,default_baseline,arctic_abox01_default,/home/fredcui/foho_phase0/runs/arctic_abox01_default,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/abox01.jpg,ok,67.42945088431718,117.22050437056903,263.0718561799051,0.0,15.0,0.9085398752758532,3124.4078141632576,True,0.0,0.0,1.0,379.68723951810824,True,True,False,reject_severe_penetration
abox01,old_gpt55_selector_v1,arctic_abox01_gpt55_auto_selector_native_v2,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/abox01.jpg,ok,1.4142743107184834,4.486615682317096,40.91456953338204,45.0,56.0,0.984486325121665,2041.4324437694318,True,0.03251110252944584,63.205808336583836,0.2493573264781491,42.04440158665351,False,True,False,reject_severe_penetration
abox01,partaware_v2_attempt0,arctic_abox01_partaware_v2_attempt0,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_abox01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_abox01_partaware_v2_attempt0,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_abox01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_abox01_partaware_v2_attempt0/foho_debug/20260620_170446_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_abox01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_abox01_partaware_v2_attempt0/foho_debug/20260620_170446_exp_objabox01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/abox01.jpg,ok,90.13734290999646,120.22874334090636,232.0191931137667,0.0,6.0,0.7454101088355701,3501.749773540712,True,0.0,0.0,1.0,396.78815199259634,True,True,False,reject_severe_penetration
aket01,default_baseline,arctic_aket01_default,/home/fredcui/foho_phase0/runs/arctic_aket01_default,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/aket01.jpg,ok,377.36663047104395,398.22515161589723,485.1338543365026,0.0,10.0,0.6129786745966636,376.51386954137695,True,0.0,0.0,0.0,0.0,True,False,True,reject_severe_floating
aket01,old_gpt55_selector_v1,arctic_aket01_gpt55_auto_selector_native_v2,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/aket01.jpg,ok,73.23118429188087,102.49481023381489,164.27981221208628,0.0,48.0,0.9421435841498583,653.2942513543799,True,0.0,0.0,0.0,0.0,True,False,False,reject_severe_floating
aket01,partaware_v2_attempt0,arctic_aket01_partaware_v2_attempt0,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_aket01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_aket01_partaware_v2_attempt0,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_aket01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_aket01_partaware_v2_attempt0/foho_debug/20260619_153623_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_aket01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_aket01_partaware_v2_attempt0/foho_debug/20260619_153623_exp_objaket01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/aket01.jpg,ok,0.6273728761365286,6.115536536534741,59.997698322972596,30.0,219.0,0.9199939157137298,1809.7096958652617,True,0.014894553332656308,48.48582173694474,0.37146529562982006,164.32454649729974,False,True,True,reject_severe_penetration
ascis01,default_baseline,arctic_ascis01_default,/home/fredcui/foho_phase0/runs/arctic_ascis01_default,/home/fredcui/foho_phase0/runs/arctic_ascis01_default/foho_debug/20260609_172351_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_ascis01_default/foho_debug/20260609_172351_exp_objascis01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/ascis01.jpg,ok,147.45123795494285,160.96044977217818,201.16411478352003,0.0,64.0,0.9357948842411985,558.8631097939899,True,0.0,0.0,0.0,0.0,True,False,False,reject_severe_floating
ascis01,old_gpt55_selector_v1,arctic_ascis01_gpt55_auto_selector_native_v2,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2/foho_debug/20260607_235259_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2/foho_debug/20260607_235259_exp_objascis01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/ascis01.jpg,ok,118.89350111268924,130.56538734726612,167.95842309617288,0.0,11.0,0.5296334932737107,389.5028636856303,True,0.0,0.0,0.0,0.0,True,False,True,reject_severe_floating
ascis01,partaware_v2_attempt0,arctic_ascis01_partaware_v2_attempt0,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_ascis01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_ascis01_partaware_v2_attempt0,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_ascis01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_ascis01_partaware_v2_attempt0/foho_debug/20260620_170814_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_ascis01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_ascis01_partaware_v2_attempt0/foho_debug/20260620_170814_exp_objascis01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/ascis01.jpg,ok,142.85506048171067,155.3020946411623,194.34620512498114,0.0,127.0,0.9476983288196108,615.4074385309139,True,0.0,0.0,0.0,0.0,True,False,True,reject_severe_floating
alapuse01,default_baseline,arctic_alapuse01_default,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/alapuse01.jpg,ok,0.7231577641953942,8.31648961799621,74.85892018878496,23.0,47.0,0.9919753259986278,1278.1665083870337,True,0.0024278145088638134,16.686855821762503,0.08611825192802057,17.420002339630475,False,True,False,reject_severe_penetration
alapuse01,old_gpt55_selector_v1,arctic_alapuse01_gpt55_auto_selector_native_v2,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_235655_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_235655_exp_objalapuse01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/alapuse01.jpg,ok,0.4032328339398447,1.8813403101502426,23.830657052472283,215.0,96.0,0.9893895597159528,1200.9334464520282,True,0.03511251746791526,33.69193669792719,0.3341902313624679,27.910100581027702,False,True,False,reject_severe_penetration
alapuse01,partaware_v2_attempt0,arctic_alapuse01_partaware_v2_attempt0,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_alapuse01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_alapuse01_partaware_v2_attempt0,,,False,/home/fredcui/foho_phase0/inputs/arctic_phase017/alapuse01.jpg,missing_mesh,,,,,,,,,,,,,,,,missing_mesh
amicuse01,default_baseline,arctic_amicuse01_default,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default/foho_debug/20260609_173116_exp_objamicuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default/foho_debug/20260609_173116_exp_objamicuse01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/amicuse01.jpg,ok,1.6477961246316255,4.822651833127515,113.21101468063296,43.0,161.0,0.9644815777823736,2639.6395362503736,True,0.04080255223412691,100.12077284090311,0.2596401028277635,104.3176069717383,False,True,True,reject_severe_penetration
amicuse01,old_gpt55_selector_v1,arctic_amicuse01_gpt55_auto_selector_native_v2,/home/fredcui/foho_phase0/runs/arctic_amicuse01_gpt55_auto_selector_native_v2,/home/fredcui/foho_phase0/runs/arctic_amicuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_230929_exp_objamicuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_amicuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_230929_exp_objamicuse01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/amicuse01.jpg,ok,2.446002747119226,8.053314686768296,87.44132126584405,18.0,264.0,0.6201981158583798,2143.5231600653287,True,0.04493167272098253,68.84587331258467,0.032133676092544985,20.243486337766054,False,True,True,reject_severe_penetration
amicuse01,partaware_v2_attempt0,arctic_amicuse01_partaware_v2_attempt0,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_amicuse01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_amicuse01_partaware_v2_attempt0,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_amicuse01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_amicuse01_partaware_v2_attempt0/foho_debug/20260620_171136_exp_objamicuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_amicuse01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_amicuse01_partaware_v2_attempt0/foho_debug/20260620_171136_exp_objamicuse01_inpainted/final_obj_mesh.ply,True,/home/fredcui/foho_phase0/inputs/arctic_phase017/amicuse01.jpg,ok,52.29442795508704,129.432007322376,276.0240366118486,0.0,111.0,0.6695282836143932,3948.8395724340285,True,0.0,0.0,0.0,0.0,True,False,True,reject_severe_floating
