case,method,run_id,is_v41_selected,decision,warning_tags,input_image,hand_mesh,object_mesh,object_cd_mm,object_f5,object_f10,contact_p5_mm,hand_inside_object_ratio,components,largest_component_fraction,selector_v4_gate
abox01,default_baseline,arctic_abox01_default,False,selected_for_contact_aware_optimization,object_inside_hand_warning;hand_inside_object_warning;object_penetration_depth_warning;hand_penetration_depth_warning,/home/fredcui/foho_phase0/inputs/arctic_phase017/abox01.jpg,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/final_obj_mesh.ply,98.40169162272616,0.0119194268098703,0.0435862602885447,117.22050437056905,1.0,15,0.9085398752758532,reject_severe_penetration
abox01,old_gpt55_selector_v1,arctic_abox01_gpt55_auto_selector_native_v2,True,selected_for_contact_aware_optimization,object_inside_hand_warning;hand_inside_object_warning;object_penetration_depth_warning;hand_penetration_depth_warning,/home/fredcui/foho_phase0/inputs/arctic_phase017/abox01.jpg,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/final_obj_mesh.ply,116.59678275816069,0.0247894515747323,0.0673027303111795,4.486615682317096,0.2493573264781491,56,0.984486325121665,reject_severe_penetration
abox01,partaware_v2_attempt0,arctic_abox01_partaware_v2_attempt0,False,selected_for_contact_aware_optimization,object_inside_hand_warning;hand_inside_object_warning;object_penetration_depth_warning;hand_penetration_depth_warning,/home/fredcui/foho_phase0/inputs/arctic_phase017/abox01.jpg,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_abox01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_abox01_partaware_v2_attempt0/foho_debug/20260620_170446_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_abox01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_abox01_partaware_v2_attempt0/foho_debug/20260620_170446_exp_objabox01_inpainted/final_obj_mesh.ply,95.43003686943987,0.0044824906599646,0.0184422421152688,120.22874334090636,1.0,6,0.7454101088355701,reject_severe_penetration
aket01,default_baseline,arctic_aket01_default,False,selected_for_contact_aware_optimization,hand_inside_object_warning;object_penetration_depth_warning;hand_penetration_depth_warning;fragmentation_warning,/home/fredcui/foho_phase0/inputs/arctic_phase017/aket01.jpg,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/final_obj_mesh.ply,126.41712444846932,0.0,0.0,398.2251516158972,0.0,10,0.6129786745966636,reject_severe_floating
aket01,old_gpt55_selector_v1,arctic_aket01_gpt55_auto_selector_native_v2,False,selected_for_contact_aware_optimization,hand_inside_object_warning;object_penetration_depth_warning;hand_penetration_depth_warning;fragmentation_warning,/home/fredcui/foho_phase0/inputs/arctic_phase017/aket01.jpg,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/final_obj_mesh.ply,40.17626079809386,0.0157069205871625,0.0447913260717992,102.49481023381487,0.0,48,0.9421435841498584,reject_severe_floating
aket01,partaware_v2_attempt0,arctic_aket01_partaware_v2_attempt0,True,selected_for_contact_aware_optimization,hand_inside_object_warning;object_penetration_depth_warning;hand_penetration_depth_warning;fragmentation_warning,/home/fredcui/foho_phase0/inputs/arctic_phase017/aket01.jpg,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_aket01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_aket01_partaware_v2_attempt0/foho_debug/20260619_153623_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_aket01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_aket01_partaware_v2_attempt0/foho_debug/20260619_153623_exp_objaket01_inpainted/final_obj_mesh.ply,64.51849278781403,0.0297328920876617,0.0621226302292913,6.115536536534741,0.37146529562982,219,0.9199939157137298,reject_severe_penetration
ascis01,default_baseline,arctic_ascis01_default,False,selected_for_contact_aware_optimization,floating_warning;low_integrity_warning,/home/fredcui/foho_phase0/inputs/arctic_phase017/ascis01.jpg,/home/fredcui/foho_phase0/runs/arctic_ascis01_default/foho_debug/20260609_172351_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_ascis01_default/foho_debug/20260609_172351_exp_objascis01_inpainted/final_obj_mesh.ply,139.27402710127524,0.0,0.0,160.96044977217818,0.0,64,0.9357948842411984,reject_severe_floating
ascis01,old_gpt55_selector_v1,arctic_ascis01_gpt55_auto_selector_native_v2,True,selected_for_contact_aware_optimization,floating_warning;low_integrity_warning,/home/fredcui/foho_phase0/inputs/arctic_phase017/ascis01.jpg,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2/foho_debug/20260607_235259_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2/foho_debug/20260607_235259_exp_objascis01_inpainted/final_obj_mesh.ply,92.40542663507598,0.0,0.0,130.56538734726612,0.0,11,0.5296334932737107,reject_severe_floating
ascis01,partaware_v2_attempt0,arctic_ascis01_partaware_v2_attempt0,False,selected_for_contact_aware_optimization,floating_warning;low_integrity_warning,/home/fredcui/foho_phase0/inputs/arctic_phase017/ascis01.jpg,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_ascis01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_ascis01_partaware_v2_attempt0/foho_debug/20260620_170814_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs_prompt_refined_v2/arctic_ascis01_partaware_v2/attempt0_partaware_prompt/run_outputs/arctic_ascis01_partaware_v2_attempt0/foho_debug/20260620_170814_exp_objascis01_inpainted/final_obj_mesh.ply,117.70447873546266,0.0,0.0,155.3020946411623,0.0,127,0.9476983288196108,reject_severe_floating
alapuse01,default_baseline,arctic_alapuse01_default,True,selected_for_contact_aware_optimization,object_penetration_depth_warning;hand_penetration_depth_warning,/home/fredcui/foho_phase0/inputs/arctic_phase017/alapuse01.jpg,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/final_obj_mesh.ply,60.50951355785459,0.064698129676191,0.1241255504754424,8.31648961799621,0.0861182519280205,47,0.9919753259986278,reject_severe_penetration
