sample_id,case,method,status,warnings,num_vertices,num_faces,bbox_diag_mm,is_watertight,num_components,largest_component_faces,largest_component_face_ratio,small_component_count_faces_lt_10,surface_area
arctic_abox01_default,abox01,default,OK,,130508,260960,821.9834664016398,True,15,236476,0.9061771919068057,0,0.944154533814193
arctic_abox01_gpt55_selector,abox01,gpt55_selector,OK,,124296,248528,535.5315266305976,True,56,243100,0.9781594025622867,0,0.34017340125938633
arctic_aket01_default,aket01,default,OK,,9420,18916,150.7144283212851,True,10,11520,0.609008246986678,0,0.015563087897443999
arctic_aket01_gpt55_selector,aket01,gpt55_selector,OK,,25962,51900,257.1521631582922,True,48,48124,0.9272447013487476,0,0.024117735461911847
arctic_ascis01_default,ascis01,default,OK,,73190,146156,408.38137664595797,False,64,133036,0.9102329018309204,1,0.09664053358334722
arctic_ascis01_gpt55_selector,ascis01,gpt55_selector,OK,,4984,9968,307.34705776894805,True,11,5052,0.5068218298555377,0,0.009505116003633147
arctic_alapuse01_default,alapuse01,default,OK,,130982,262280,404.08286775220773,True,47,258720,0.9864267195363733,0,0.22489607018708271
arctic_alapuse01_gpt55_selector,alapuse01,gpt55_selector,OK,,124514,248848,473.17381392565,True,96,243500,0.9785089693306758,0,0.2743012541831029
arctic_amicuse01_default,amicuse01,default,OK,,271135,542740,571.675816965616,False,161,518480,0.9553008807163651,1,0.5926086484377272
arctic_amicuse01_gpt55_selector,amicuse01,gpt55_selector,OK,,46248,91720,505.6680947183417,True,264,51788,0.564631487134758,0,0.15642579262162523
oakink_split000_default,oakink_split000,default,OK,,68886,137984,257.17901082030664,True,2,137228,0.9945211038961039,0,0.08330929701208156
oakink_split000_gpt55_selector,oakink_split000,gpt55_selector,OK,,60408,120864,275.05768909380515,True,1,120864,1.0,0,0.0728542594125718
