sample_id,dataset,case,method,status,warnings,num_hand_vertices,num_object_points_used,object_representation,min_hand_object_dist_m,p5_hand_object_dist_m,mean_hand_object_dist_m,object_center_to_hand_center_m,min_hand_object_dist_mm,p5_hand_object_dist_mm,mean_hand_object_dist_mm,object_center_to_hand_center_mm,contact_threshold_mm,floating_threshold_mm,contact_vertex_count,contact_vertex_ratio,floating,penetration_supported,penetration_vertex_count,max_penetration_depth_mm,contact_status_label,object_inside_hand_ratio,object_inside_hand_max_depth_mm,hand_inside_object_ratio,hand_inside_object_max_depth_mm,num_components,largest_component_face_ratio,small_component_count_faces_lt_10,bbox_diag_mm,is_watertight,floating_penalty,heavy_contact_penalty,fragmentation_penalty,low_largest_component_penalty,oversize_penalty,ablation_name,score,selected_status
arctic_alapuse01_gpt55_selector,arctic,alapuse01,gpt55_selector,OK,,778,30000,sample_surface,0.0001464449167717,0.0012193594662266,0.0096028864510188,0.0270012033180259,0.1464449167717095,1.2193594662266931,9.602886451018822,27.001203318025937,5.0,10.0,380,0.4884318766066838,False,False,,,heavy_contact_check_penetration,0.0351125174679152,12.654857892719008,0.3341902313624679,10.483165713949813,96,0.9785089693306758,0,473.17381392565,True,0.0,1.0,1.0,0.02149103066932423,0.0,contact_only,-1.2193594662266931,selected_but_penetration_risk
arctic_abox01_gpt55_selector,arctic,abox01,gpt55_selector,OK,,778,30000,sample_surface,0.0004246381156098,0.0020273389448189,0.0117124618182676,0.0484629479605678,0.4246381156098588,2.0273389448189345,11.712461818267675,48.4629479605678,5.0,10.0,178,0.2287917737789203,False,False,,,near_contact,0.0325111025294458,17.498181231534883,0.2493573264781491,11.639754273306494,56,0.9781594025622868,0,535.5315266305976,True,0.0,0.0,1.0,0.02184059743771316,0.0,contact_only,-2.0273389448189345,selected_but_penetration_risk
arctic_amicuse01_gpt55_selector,arctic,amicuse01,gpt55_selector,OK,,778,30000,sample_surface,0.000386692819142,0.0020799741758852,0.0196861224814395,0.0972781295227879,0.3866928191420619,2.0799741758852908,19.68612248143953,97.27812952278798,5.0,10.0,105,0.1349614395886889,False,False,,,near_contact,0.0449316727209825,14.89496380922719,0.0321336760925449,4.3797264218680745,264,0.564631487134758,0,505.6680947183417,True,0.0,0.0,1.0,0.43536851286524203,0.0,contact_only,-2.0799741758852908,selected_but_penetration_risk
oakink_split000_default,oakink,oakink_split000,default,OK,,778,30000,sample_surface,0.0138000198511592,0.020041855472596,0.0569216151585276,0.1492170255186699,13.800019851159275,20.041855472596005,56.9216151585276,149.21702551866994,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,2,0.994521103896104,0,257.17901082030664,True,1.0,0.0,0.05,0.005478896103895958,0.0,contact_only,-20.041855472596005,selected_but_floating
arctic_aket01_gpt55_selector,arctic,aket01,gpt55_selector,OK,,778,30000,sample_surface,0.0293273413093551,0.0398822001909148,0.0675646385588421,0.0828944702639794,29.327341309355145,39.88220019091485,67.5646385588421,82.89447026397946,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,48,0.9272447013487476,0,257.1521631582922,True,1.0,0.0,1.0,0.07275529865125241,0.0,contact_only,-39.88220019091485,selected_but_floating
arctic_ascis01_gpt55_selector,arctic,ascis01,gpt55_selector,OK,,778,30000,sample_surface,0.0916265753148697,0.1006891506998976,0.1294718593006752,0.1553376276046958,91.62657531486973,100.68915069989764,129.47185930067528,155.33762760469588,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,11,0.5068218298555377,0,307.34705776894805,True,1.0,0.0,0.5,0.4931781701444623,0.0,contact_only,-100.68915069989764,reject_both_or_rerun
arctic_alapuse01_gpt55_selector,arctic,alapuse01,gpt55_selector,OK,,778,30000,sample_surface,0.0001464449167717,0.0012193594662266,0.0096028864510188,0.0270012033180259,0.1464449167717095,1.2193594662266931,9.602886451018822,27.001203318025937,5.0,10.0,380,0.4884318766066838,False,False,,,heavy_contact_check_penetration,0.0351125174679152,12.654857892719008,0.3341902313624679,10.483165713949813,96,0.9785089693306758,0,473.17381392565,True,0.0,1.0,1.0,0.02149103066932423,0.0,contact_plus_floating,-1.2193594662266931,selected_but_penetration_risk
arctic_abox01_gpt55_selector,arctic,abox01,gpt55_selector,OK,,778,30000,sample_surface,0.0004246381156098,0.0020273389448189,0.0117124618182676,0.0484629479605678,0.4246381156098588,2.0273389448189345,11.712461818267675,48.4629479605678,5.0,10.0,178,0.2287917737789203,False,False,,,near_contact,0.0325111025294458,17.498181231534883,0.2493573264781491,11.639754273306494,56,0.9781594025622868,0,535.5315266305976,True,0.0,0.0,1.0,0.02184059743771316,0.0,contact_plus_floating,-2.0273389448189345,selected_but_penetration_risk
arctic_amicuse01_gpt55_selector,arctic,amicuse01,gpt55_selector,OK,,778,30000,sample_surface,0.000386692819142,0.0020799741758852,0.0196861224814395,0.0972781295227879,0.3866928191420619,2.0799741758852908,19.68612248143953,97.27812952278798,5.0,10.0,105,0.1349614395886889,False,False,,,near_contact,0.0449316727209825,14.89496380922719,0.0321336760925449,4.3797264218680745,264,0.564631487134758,0,505.6680947183417,True,0.0,0.0,1.0,0.43536851286524203,0.0,contact_plus_floating,-2.0799741758852908,selected_but_penetration_risk
oakink_split000_default,oakink,oakink_split000,default,OK,,778,30000,sample_surface,0.0138000198511592,0.020041855472596,0.0569216151585276,0.1492170255186699,13.800019851159275,20.041855472596005,56.9216151585276,149.21702551866994,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,2,0.994521103896104,0,257.17901082030664,True,1.0,0.0,0.05,0.005478896103895958,0.0,contact_plus_floating,-120.04185547259601,selected_but_floating
