[Summary]
 floating_p5_threshold_mm  selected_count  reject_count
                       15               1             5
                       20               1             5
                       25               2             4
                       30               2             4
                       40               3             3

[Selected cases]
 floating_p5_threshold_mm            case                    sample_id         method       final_decision  hard_fail_count  p5_hand_object_dist_mm  floating  object_inside_hand_ratio  hand_inside_object_ratio  num_components  largest_component_face_ratio  bbox_diag_mm
                       15          abox01 arctic_abox01_gpt55_selector gpt55_selector reject_both_or_rerun                1                2.027339     False                  0.032511                  0.249357              56                      0.978159    535.531527
                       15          aket01 arctic_aket01_gpt55_selector gpt55_selector reject_both_or_rerun                1               39.882200      True                  0.000000                  0.000000              48                      0.927245    257.152163
                       15       alapuse01     arctic_alapuse01_default        default               select                0                3.078930     False                  0.002428                  0.086118              47                      0.986427    404.082868
                       15       amicuse01     arctic_amicuse01_default        default reject_both_or_rerun                1                2.141817     False                  0.040803                  0.259640             161                      0.955301    571.675817
                       15         ascis01       arctic_ascis01_default        default reject_both_or_rerun                1              123.589283      True                  0.000000                  0.000000              64                      0.910233    408.381377
                       15 oakink_split000      oakink_split000_default        default reject_both_or_rerun                1               20.041855      True                  0.000000                  0.000000               2                      0.994521    257.179011
                       20          abox01 arctic_abox01_gpt55_selector gpt55_selector reject_both_or_rerun                1                2.027339     False                  0.032511                  0.249357              56                      0.978159    535.531527
                       20          aket01 arctic_aket01_gpt55_selector gpt55_selector reject_both_or_rerun                1               39.882200      True                  0.000000                  0.000000              48                      0.927245    257.152163
                       20       alapuse01     arctic_alapuse01_default        default               select                0                3.078930     False                  0.002428                  0.086118              47                      0.986427    404.082868
                       20       amicuse01     arctic_amicuse01_default        default reject_both_or_rerun                1                2.141817     False                  0.040803                  0.259640             161                      0.955301    571.675817
                       20         ascis01       arctic_ascis01_default        default reject_both_or_rerun                1              123.589283      True                  0.000000                  0.000000              64                      0.910233    408.381377
                       20 oakink_split000      oakink_split000_default        default reject_both_or_rerun                1               20.041855      True                  0.000000                  0.000000               2                      0.994521    257.179011
                       25          abox01 arctic_abox01_gpt55_selector gpt55_selector reject_both_or_rerun                1                2.027339     False                  0.032511                  0.249357              56                      0.978159    535.531527
                       25          aket01 arctic_aket01_gpt55_selector gpt55_selector reject_both_or_rerun                1               39.882200      True                  0.000000                  0.000000              48                      0.927245    257.152163
                       25       alapuse01     arctic_alapuse01_default        default               select                0                3.078930     False                  0.002428                  0.086118              47                      0.986427    404.082868
                       25       amicuse01     arctic_amicuse01_default        default reject_both_or_rerun                1                2.141817     False                  0.040803                  0.259640             161                      0.955301    571.675817
                       25         ascis01       arctic_ascis01_default        default reject_both_or_rerun                1              123.589283      True                  0.000000                  0.000000              64                      0.910233    408.381377
                       25 oakink_split000      oakink_split000_default        default               select                0               20.041855      True                  0.000000                  0.000000               2                      0.994521    257.179011
                       30          abox01 arctic_abox01_gpt55_selector gpt55_selector reject_both_or_rerun                1                2.027339     False                  0.032511                  0.249357              56                      0.978159    535.531527
                       30          aket01 arctic_aket01_gpt55_selector gpt55_selector reject_both_or_rerun                1               39.882200      True                  0.000000                  0.000000              48                      0.927245    257.152163
                       30       alapuse01     arctic_alapuse01_default        default               select                0                3.078930     False                  0.002428                  0.086118              47                      0.986427    404.082868
                       30       amicuse01     arctic_amicuse01_default        default reject_both_or_rerun                1                2.141817     False                  0.040803                  0.259640             161                      0.955301    571.675817
                       30         ascis01       arctic_ascis01_default        default reject_both_or_rerun                1              123.589283      True                  0.000000                  0.000000              64                      0.910233    408.381377
                       30 oakink_split000      oakink_split000_default        default               select                0               20.041855      True                  0.000000                  0.000000               2                      0.994521    257.179011
                       40          abox01 arctic_abox01_gpt55_selector gpt55_selector reject_both_or_rerun                1                2.027339     False                  0.032511                  0.249357              56                      0.978159    535.531527
                       40          aket01 arctic_aket01_gpt55_selector gpt55_selector               select                0               39.882200      True                  0.000000                  0.000000              48                      0.927245    257.152163
                       40       alapuse01     arctic_alapuse01_default        default               select                0                3.078930     False                  0.002428                  0.086118              47                      0.986427    404.082868
                       40       amicuse01     arctic_amicuse01_default        default reject_both_or_rerun                1                2.141817     False                  0.040803                  0.259640             161                      0.955301    571.675817
                       40         ascis01       arctic_ascis01_default        default reject_both_or_rerun                1              123.589283      True                  0.000000                  0.000000              64                      0.910233    408.381377
                       40 oakink_split000      oakink_split000_default        default               select                0               20.041855      True                  0.000000                  0.000000               2                      0.994521    257.179011
