sample_id,case,method,expected_run_dir,run_dir_exists,params_json_count,params_json,fov_json_count,fov_json,pred_hand_mesh,pred_object_mesh,align_npz,needs_manual_review
arctic_abox01_default,abox01,default,/home/fredcui/foho_phase0/runs/arctic_abox01_default,True,1,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/params.json,1,/home/fredcui/foho_phase0/runs/arctic_abox01_default/moge_out/abox01_cropped_hoi/fov.json,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_abox01_default/foho_debug/20260609_171649_exp_objabox01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_abox01_default_hand_align.npz,False
arctic_abox01_gpt55_selector,abox01,gpt55_selector,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2,True,1,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/params.json,1,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/moge_out/abox01_cropped_hoi/fov.json,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_abox01_gpt55_auto_selector_native_v2/foho_debug/20260607_190711_exp_objabox01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_abox01_gpt55_selector_hand_align.npz,False
arctic_aket01_default,aket01,default,/home/fredcui/foho_phase0/runs/arctic_aket01_default,True,1,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/params.json,1,/home/fredcui/foho_phase0/runs/arctic_aket01_default/moge_out/aket01_cropped_hoi/fov.json,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_aket01_default/foho_debug/20260609_172029_exp_objaket01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_aket01_default_hand_align.npz,False
arctic_aket01_gpt55_selector,aket01,gpt55_selector,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2,True,1,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/params.json,1,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/moge_out/aket01_cropped_hoi/fov.json,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_aket01_gpt55_auto_selector_native_v2/foho_debug/20260607_234917_exp_objaket01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_aket01_gpt55_selector_hand_align.npz,False
arctic_ascis01_default,ascis01,default,/home/fredcui/foho_phase0/runs/arctic_ascis01_default,True,1,/home/fredcui/foho_phase0/runs/arctic_ascis01_default/foho_debug/20260609_172351_exp_objascis01_inpainted/params.json,1,/home/fredcui/foho_phase0/runs/arctic_ascis01_default/moge_out/ascis01_cropped_hoi/fov.json,/home/fredcui/foho_phase0/runs/arctic_ascis01_default/foho_debug/20260609_172351_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_ascis01_default/foho_debug/20260609_172351_exp_objascis01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_ascis01_default_hand_align.npz,False
arctic_ascis01_gpt55_selector,ascis01,gpt55_selector,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2,True,1,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2/foho_debug/20260607_235259_exp_objascis01_inpainted/params.json,1,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2/moge_out/ascis01_cropped_hoi/fov.json,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2/foho_debug/20260607_235259_exp_objascis01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_ascis01_gpt55_auto_selector_native_v2/foho_debug/20260607_235259_exp_objascis01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_ascis01_gpt55_selector_hand_align.npz,False
arctic_alapuse01_default,alapuse01,default,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default,True,1,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/params.json,1,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/moge_out/alapuse01_cropped_hoi/fov.json,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_alapuse01_default/foho_debug/20260609_172730_exp_objalapuse01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_alapuse01_default_hand_align.npz,False
arctic_alapuse01_gpt55_selector,alapuse01,gpt55_selector,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2,True,1,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_235655_exp_objalapuse01_inpainted/params.json,1,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2/moge_out/alapuse01_cropped_hoi/fov.json,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_235655_exp_objalapuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_alapuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_235655_exp_objalapuse01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_alapuse01_gpt55_selector_hand_align.npz,False
arctic_amicuse01_default,amicuse01,default,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default,True,1,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default/foho_debug/20260609_173116_exp_objamicuse01_inpainted/params.json,1,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default/moge_out/amicuse01_cropped_hoi/fov.json,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default/foho_debug/20260609_173116_exp_objamicuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_amicuse01_default/foho_debug/20260609_173116_exp_objamicuse01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_amicuse01_default_hand_align.npz,False
arctic_amicuse01_gpt55_selector,amicuse01,gpt55_selector,/home/fredcui/foho_phase0/runs/arctic_amicuse01_gpt55_auto_selector_native_v2,True,1,/home/fredcui/foho_phase0/runs/arctic_amicuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_230929_exp_objamicuse01_inpainted/params.json,1,/home/fredcui/foho_phase0/runs/arctic_amicuse01_gpt55_auto_selector_native_v2/moge_out/amicuse01_cropped_hoi/fov.json,/home/fredcui/foho_phase0/runs/arctic_amicuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_230929_exp_objamicuse01_inpainted/final_hand_mesh.ply,/home/fredcui/foho_phase0/runs/arctic_amicuse01_gpt55_auto_selector_native_v2/foho_debug/20260607_230929_exp_objamicuse01_inpainted/final_obj_mesh.ply,/home/fredcui/foho_phase0/phase1_diagnostics/cache_transforms/arctic_amicuse01_gpt55_selector_hand_align.npz,False
