sample_id,dataset,case,method,status,warnings,num_hand_vertices,num_object_points_used,object_representation,min_hand_object_dist_m,p5_hand_object_dist_m,mean_hand_object_dist_m,object_center_to_hand_center_m,min_hand_object_dist_mm,p5_hand_object_dist_mm,mean_hand_object_dist_mm,object_center_to_hand_center_mm,contact_threshold_mm,floating_threshold_mm,contact_vertex_count,contact_vertex_ratio,floating,penetration_supported,penetration_vertex_count,max_penetration_depth_mm,contact_status_label,object_inside_hand_ratio,object_inside_hand_max_depth_mm,hand_inside_object_ratio,hand_inside_object_max_depth_mm,num_components,largest_component_face_ratio,bbox_diag_mm,is_watertight,severe_floating,borderline_floating,severe_penetration,severe_fragmentation,low_integrity,oversized_object,hard_fail_count,soft_score,selector_v4_score,failure_reasons
arctic_abox01_default,arctic,abox01,default,OK,,778,30000,sample_surface,0.0190700413910098,0.032856243828822,0.0735606516713839,0.0342881296647746,19.07004139100984,32.85624382882204,73.56065167138394,34.288129664774644,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,1.0,106.02826753383276,15,0.9061771919068056,821.9834664016398,True,True,True,True,False,False,True,3,-56.132699990685936,-3056.132699990686,"['severe_floating', 'severe_penetration', 'oversized_object']"
arctic_abox01_gpt55_selector,arctic,abox01,gpt55_selector,OK,,778,30000,sample_surface,0.0004246381156098,0.0020273389448189,0.0117124618182676,0.0484629479605678,0.4246381156098588,2.0273389448189345,11.712461818267675,48.4629479605678,5.0,10.0,178,0.2287917737789203,False,False,,,near_contact,0.0325111025294458,17.498181231534883,0.2493573264781491,11.639754273306494,56,0.9781594025622868,535.5315266305976,True,False,False,True,False,False,False,1,0.7611119461230089,-999.238888053877,['severe_penetration']
arctic_aket01_default,arctic,aket01,default,OK,,778,30000,sample_surface,0.1517296601082718,0.1601866987765544,0.1950379497248962,0.2115737582233694,151.72966010827187,160.18669877655438,195.0379497248963,211.57375822336945,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,10,0.609008246986678,150.7144283212851,True,True,True,False,False,True,False,2,-148.9065338368208,-2148.906533836821,"['severe_floating', 'low_integrity']"
arctic_aket01_gpt55_selector,arctic,aket01,gpt55_selector,OK,,778,30000,sample_surface,0.0293273413093551,0.0398822001909148,0.0675646385588421,0.0828944702639794,29.327341309355145,39.88220019091485,67.5646385588421,82.89447026397946,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,48,0.9272447013487476,257.1521631582922,True,True,True,False,False,False,False,1,-26.037306163939895,-1026.03730616394,['severe_floating']
arctic_ascis01_default,arctic,ascis01,default,OK,,778,30000,sample_surface,0.1131263318833534,0.123589282554064,0.1554114825465168,0.2458289102640176,113.12633188335349,123.589282554064,155.41148254651682,245.82891026401768,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,64,0.9102329018309204,408.381376645958,False,True,True,False,False,False,False,1,-111.6846245174456,-1111.6846245174456,['severe_floating']
arctic_ascis01_gpt55_selector,arctic,ascis01,gpt55_selector,OK,,778,30000,sample_surface,0.0916265753148697,0.1006891506998976,0.1294718593006752,0.1553376276046958,91.62657531486973,100.68915069989764,129.47185930067528,155.33762760469588,5.0,10.0,0,0.0,True,False,,,floating,0.0,0.0,0.0,0.0,11,0.5068218298555377,307.34705776894805,True,True,True,False,False,True,False,2,-91.55271410278688,-2091.552714102787,"['severe_floating', 'low_integrity']"
arctic_alapuse01_default,arctic,alapuse01,default,OK,,778,30000,sample_surface,0.0003823894749536,0.0030789296693334,0.0253629231912861,0.0515901566830832,0.3823894749536265,3.078929669333472,25.362923191286114,51.59015668308327,5.0,10.0,95,0.1221079691516709,False,False,,,near_contact,0.0024278145088638,5.615192328605807,0.0861182519280205,5.861887040876332,47,0.9864267195363732,404.0828677522077,True,False,False,False,False,False,False,0,8.50776206391862,8.50776206391862,['valid']
arctic_alapuse01_gpt55_selector,arctic,alapuse01,gpt55_selector,OK,,778,30000,sample_surface,0.0001464449167717,0.0012193594662266,0.0096028864510188,0.0270012033180259,0.1464449167717095,1.2193594662266931,9.602886451018822,27.001203318025937,5.0,10.0,380,0.4884318766066838,False,False,,,heavy_contact_check_penetration,0.0351125174679152,12.654857892719008,0.3341902313624679,10.483165713949813,96,0.9785089693306758,473.17381392565,True,False,False,True,False,False,False,1,-5.921290032828502,-1005.9212900328286,['severe_penetration']
arctic_amicuse01_default,arctic,amicuse01,default,OK,,778,30000,sample_surface,0.0006269304648602,0.0021418166738483,0.0236984971267135,0.1156748393093882,0.626930464860283,2.141816673848362,23.69849712671352,115.67483930938828,5.0,10.0,189,0.2429305912596401,False,False,,,near_contact,0.0408025522341269,20.42940814916024,0.2596401028277635,21.29706975957968,161,0.9553008807163652,571.675816965616,False,False,False,True,False,False,False,1,-5.053505261996673,-1005.0535052619966,['severe_penetration']
arctic_amicuse01_gpt55_selector,arctic,amicuse01,gpt55_selector,OK,,778,30000,sample_surface,0.000386692819142,0.0020799741758852,0.0196861224814395,0.0972781295227879,0.3866928191420619,2.0799741758852908,19.68612248143953,97.27812952278798,5.0,10.0,105,0.1349614395886889,False,False,,,near_contact,0.0449316727209825,14.89496380922719,0.0321336760925449,4.3797264218680745,264,0.564631487134758,505.6680947183417,True,False,False,True,True,True,False,3,-3.8699583857312287,-3003.869958385731,"['severe_penetration', 'severe_fragmentation', 'low_integrity']"
